,minutes_watched,clv,clv_wins,region,channel
456,10865.0,0.0,0.0,Rest_of_the_world,YouTube
457,1398.0,36.0,36.0,Rest_of_the_world,LinkedIn
458,994.0,62.58,62.58,Rest_of_the_world,YouTube
459,3177.0,146.4,146.4,Rest_of_the_world,Instagram
460,261.0,149.99,149.99,USA/Canada/As,YouTube
461,234.0,149.99,149.99,West_EU,Google
462,1315.0,149.99,149.99,USA/Canada/As,Other
463,393.0,149.99,149.99,USA/Canada/As,YouTube
464,840.0,149.99,149.99,USA/Canada/As,Instagram
465,804.0,178.83,178.83,West_EU,Other
466,2542.0,119.0,119.0,USA/Canada/As,YouTube
467,0.0,149.99,149.99,Rest_of_the_world,Google
468,282.0,138.0,138.0,USA/Canada/As,YouTube
469,2897.0,179.59,179.59,Rest_of_the_world,Google
470,389.0,150.28,150.28,USA/Canada/As,Instagram
471,1506.0,97.1,97.1,USA/Canada/As,Google
472,278.0,269.22,269.22,USA/Canada/As,Google
473,961.0,36.0,36.0,Rest_of_the_world,Google
474,218.0,36.0,36.0,Rest_of_the_world,Google
475,32.0,150.42,150.42,USA/Canada/As,Friend
476,1303.0,149.99,149.99,Rest_of_the_world,Google
477,350.0,149.99,149.99,USA/Canada/As,Friend
478,1041.0,180.93,180.93,West_EU,Google
479,19092.0,149.99,149.99,Rest_of_the_world,Other
480,32.0,149.98,149.98,Rest_of_the_world,Friend
481,18778.0,149.99,149.99,Rest_of_the_world,Facebook
482,407.0,149.99,149.99,Rest_of_the_world,YouTube
483,325.0,152.56,152.56,USA/Canada/As,Google
484,178.0,149.99,149.99,USA/Canada/As,YouTube
485,368.0,149.99,149.99,USA/Canada/As,YouTube
486,92.0,36.0,36.0,Rest_of_the_world,Instagram
487,21.0,181.87,181.87,West_EU,Instagram
488,1213.0,57.75,57.75,West_EU,YouTube
489,296.0,36.0,36.0,Rest_of_the_world,YouTube
490,0.0,36.0,36.0,USA/Canada/As,YouTube
491,3240.0,146.89,146.89,Rest_of_the_world,YouTube
492,199.0,149.99,149.99,USA/Canada/As,Google
493,137.0,149.99,149.99,USA/Canada/As,Instagram
494,0.0,149.99,149.99,USA/Canada/As,Google
495,293.0,62.58,62.58,Rest_of_the_world,LinkedIn
496,143.0,149.99,149.99,USA/Canada/As,YouTube
497,187.0,62.58,62.58,Rest_of_the_world,YouTube
498,2104.0,148.75,148.75,West_EU,Google
499,86.0,150.14,150.14,USA/Canada/As,YouTube
500,1488.0,180.34,180.34,West_EU,YouTube
501,3888.0,205.54,205.54,USA/Canada/As,YouTube
502,457.0,220.44,220.44,Rest_of_the_world,Facebook
503,0.0,149.99,149.99,USA/Canada/As,Other
504,362.0,119.0,119.0,USA/Canada/As,LinkedIn
505,6463.0,149.99,149.99,USA/Canada/As,Friend
506,83.0,149.99,149.99,Rest_of_the_world,YouTube
507,5846.0,70.0,70.0,Rest_of_the_world,YouTube
508,52.0,149.99,149.99,USA/Canada/As,Facebook
509,516.0,149.99,149.99,Rest_of_the_world,YouTube
510,1900.0,179.25,179.25,West_EU,YouTube
511,1240.0,150.64,150.64,USA/Canada/As,YouTube
512,3395.0,149.99,149.99,USA/Canada/As,Google
513,2969.0,149.64,149.64,Rest_of_the_world,LinkedIn
514,907.0,180.69,180.69,West_EU,Other
515,4600.0,238.02,238.02,USA/Canada/As,Instagram
516,518.0,149.99,149.99,USA/Canada/As,YouTube
517,559.0,118.7,118.7,USA/Canada/As,YouTube
518,3121.0,149.99,149.99,Rest_of_the_world,LinkedIn
519,30.0,149.99,149.99,Rest_of_the_world,YouTube
520,200.0,62.57,62.57,Rest_of_the_world,YouTube
521,53.0,179.12,179.12,Rest_of_the_world,YouTube
522,767.0,188.15,188.15,West_EU,YouTube
523,29.0,150.18,150.18,USA/Canada/As,Google
524,1266.0,149.99,149.99,Rest_of_the_world,YouTube
525,5558.0,48.6,48.6,Rest_of_the_world,YouTube
526,42.0,141.61,141.61,West_EU,YouTube
527,70.0,149.99,149.99,USA/Canada/As,Other
528,5.0,149.99,149.99,USA/Canada/As,YouTube
529,235.0,178.03,178.03,West_EU,Friend
530,1091.0,184.44,184.44,Rest_of_the_world,Instagram
531,615.0,149.99,149.99,USA/Canada/As,Other
532,3895.0,149.99,149.99,Rest_of_the_world,YouTube
533,48.0,174.13,174.13,USA/Canada/As,LinkedIn
534,2233.0,149.99,149.99,Rest_of_the_world,YouTube
535,492.0,52.06,52.06,Rest_of_the_world,LinkedIn
536,57.0,178.16,178.16,West_EU,YouTube
537,2246.0,150.04,150.04,USA/Canada/As,Google
538,37797.0,153.2,153.2,Rest_of_the_world,YouTube
539,53.0,149.99,149.99,USA/Canada/As,YouTube
540,2973.0,187.04,187.04,West_EU,YouTube
541,599.0,149.99,149.99,Rest_of_the_world,LinkedIn
542,1575.0,149.57,149.57,USA/Canada/As,Google
543,429.0,149.99,149.99,Rest_of_the_world,YouTube
544,316.0,182.07,182.07,West_EU,Google
545,527.0,149.99,149.99,Rest_of_the_world,YouTube
546,2539.0,396.48,281.105,West_EU,YouTube
547,4219.0,150.32,150.32,Rest_of_the_world,Facebook
548,4369.0,149.99,149.99,Rest_of_the_world,YouTube
549,603.0,178.46,178.46,West_EU,YouTube
550,2148.0,178.22,178.22,West_EU,Google
551,48.0,149.99,149.99,USA/Canada/As,YouTube
552,1051.0,75.43,75.43,Rest_of_the_world,Google
553,1240.0,138.0,138.0,Rest_of_the_world,YouTube
554,1647.0,119.25,119.25,Rest_of_the_world,Friend
555,1679.0,149.75,149.75,USA/Canada/As,YouTube
556,173.0,149.99,149.99,USA/Canada/As,YouTube
557,125.0,149.99,149.99,Rest_of_the_world,YouTube
558,428.0,605.99,281.105,Rest_of_the_world,YouTube
559,62.0,149.99,149.99,USA/Canada/As,Other
560,323.0,149.99,149.99,Rest_of_the_world,YouTube
561,3038.0,149.99,149.99,USA/Canada/As,Friend
562,1708.0,119.0,119.0,Rest_of_the_world,Google
563,1305.0,181.24,181.24,West_EU,YouTube
564,84.0,149.99,149.99,USA/Canada/As,YouTube
565,1419.0,119.39,119.39,USA/Canada/As,Google
566,121.0,215.76,215.76,Rest_of_the_world,LinkedIn
567,863.0,78.19,78.19,West_EU,Facebook
568,0.0,77.3,77.3,USA/Canada/As,Other
569,4929.0,265.5,265.5,Rest_of_the_world,YouTube
570,540.0,174.0,174.0,USA/Canada/As,Instagram
571,4637.0,173.39,173.39,USA/Canada/As,Friend
572,736.0,107.72,107.72,Rest_of_the_world,Instagram
573,15700.0,165.3,165.3,West_EU,YouTube
574,15.0,219.5,219.5,West_EU,YouTube
575,917.0,184.44,184.44,Rest_of_the_world,YouTube
576,887.0,220.75,220.75,Rest_of_the_world,LinkedIn
577,53.0,62.58,62.58,Rest_of_the_world,YouTube
578,2739.0,208.02,208.02,West_EU,Facebook
579,1870.0,199.92,199.92,Rest_of_the_world,YouTube
580,47.0,174.0,174.0,USA/Canada/As,Google
581,448.0,174.0,174.0,USA/Canada/As,YouTube
582,560.0,156.0,156.0,Rest_of_the_world,YouTube
583,189.0,211.49,211.49,West_EU,Facebook
584,3884.0,174.14,174.14,Rest_of_the_world,YouTube
585,211.0,63.63,63.63,Rest_of_the_world,Twitter
586,991.0,174.0,174.0,USA/Canada/As,YouTube
587,2937.0,64.8,64.8,Rest_of_the_world,Friend
588,1340.0,36.0,36.0,Rest_of_the_world,YouTube
589,0.0,97.0,97.0,Rest_of_the_world,Friend
590,1549.0,167.97,167.97,USA/Canada/As,YouTube
591,399.0,174.0,174.0,USA/Canada/As,YouTube
592,120.0,27.0,27.0,USA/Canada/As,YouTube
593,129.0,184.55,184.55,USA/Canada/As,Friend
594,4659.0,36.0,36.0,Rest_of_the_world,Twitter
595,1112.0,36.0,36.0,USA/Canada/As,Google
596,109.0,174.0,174.0,USA/Canada/As,YouTube
597,94.0,62.58,62.58,Rest_of_the_world,LinkedIn
598,3103.0,214.36,214.36,West_EU,YouTube
599,83.0,61.88,61.88,West_EU,Google
