minutes_watched,CLV,region,channel,CLV_wins,Region,Channel
142.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
753.0,173.57,0,3,173.57,USA/Canada/As,YouTube
5819.0,46.36,2,1,46.36,Rest_of_the_world,Google
120.0,119.0,0,2,119.0,USA/Canada/As,Facebook
2809.0,119.0,2,7,119.0,Rest_of_the_world,Friend
131.0,119.0,2,1,119.0,Rest_of_the_world,Google
47.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
2333.0,62.58,2,8,62.58,Rest_of_the_world,Other
106.0,72.57,2,4,72.57,Rest_of_the_world,LinkedIn
785.0,84.14,2,1,84.14,Rest_of_the_world,Google
7.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
1860.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
189.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
300.0,119.0,0,3,119.0,USA/Canada/As,YouTube
815.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
420.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
509.0,19.0,2,4,19.0,Rest_of_the_world,LinkedIn
21.0,149.99,2,4,149.99,Rest_of_the_world,LinkedIn
0.0,121.0,0,2,121.0,USA/Canada/As,Facebook
95.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
3915.0,240.0,0,3,240.0,USA/Canada/As,YouTube
126.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
345.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
4118.0,119.0,0,1,119.0,USA/Canada/As,Google
6767.0,144.43,2,4,144.43,Rest_of_the_world,LinkedIn
118.0,62.58,2,1,62.58,Rest_of_the_world,Google
24.0,164.0,0,8,164.0,USA/Canada/As,Other
519.0,119.0,0,3,119.0,USA/Canada/As,YouTube
14289.0,14.25,2,1,14.25,Rest_of_the_world,Google
528.0,119.0,2,7,119.0,Rest_of_the_world,Friend
261.0,78.87,2,4,78.87,Rest_of_the_world,LinkedIn
15.0,63.63,2,2,63.63,Rest_of_the_world,Facebook
4017.0,62.58,2,3,62.58,Rest_of_the_world,YouTube
407.0,36.0,2,7,36.0,Rest_of_the_world,Friend
713.0,143.0,0,8,143.0,USA/Canada/As,Other
756.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
1666.0,25.65,1,4,25.65,West_EU,LinkedIn
7625.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
628.0,36.0,2,7,36.0,Rest_of_the_world,Friend
837.0,119.0,1,7,119.0,West_EU,Friend
3.0,62.57,2,4,62.57,Rest_of_the_world,LinkedIn
1494.0,62.58,0,8,62.58,USA/Canada/As,Other
78.0,119.0,1,4,119.0,West_EU,LinkedIn
189.0,174.0,2,7,174.0,Rest_of_the_world,Friend
137.0,62.57,2,3,62.57,Rest_of_the_world,YouTube
2220.0,146.56,1,3,146.56,West_EU,YouTube
1557.0,180.91,1,1,180.91,West_EU,Google
518.0,62.58,2,7,62.58,Rest_of_the_world,Friend
1933.0,310.99,1,4,281.105,West_EU,LinkedIn
8201.0,19.0,2,3,19.0,Rest_of_the_world,YouTube
5221.0,62.58,2,6,62.58,Rest_of_the_world,Instagram
1723.0,142.22,2,1,142.22,Rest_of_the_world,Google
409.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
73258.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
529.0,119.0,2,4,119.0,Rest_of_the_world,LinkedIn
192.0,63.63,2,2,63.63,Rest_of_the_world,Facebook
2235.0,119.0,2,4,119.0,Rest_of_the_world,LinkedIn
